time	count
5645227.00	0.00
5645285.00	0.25
5645300.00	0.00
5645339.00	0.25
5645341.00	0.00
5645425.00	0.25
5645439.00	0.00
5645476.00	0.25
5645479.00	0.00
5645560.00	0.25
5645573.00	0.00
5645610.00	0.25
5645617.00	0.00
5645708.00	0.25
5645722.00	0.00
5645759.00	0.25
5645762.00	0.00
5645829.00	0.25
5645843.00	0.00
5645880.00	0.25
5645883.00	0.00
5645991.00	0.25
5646048.00	0.00
5646116.00	0.25
5646157.00	0.00
5646188.00	0.25
5646197.00	0.00
5646229.00	0.25
5646244.00	0.00
5646278.00	0.25
5646289.00	0.50
5646292.00	0.25
5646299.00	0.00
5646397.00	0.25
5646446.00	0.00
5646531.00	0.25
5646533.00	0.50
